population	region	country	T0	T1	T2	T3	T4	T5	T6	UNDATED	TOTAL
Algeria_Afalou_Paleolithic	MAGHREB	Algeria	0	0	0	1	0	0	0	0	1
Algeria_KhenchelaCave_IA	MAGHREB	Algeria	0	1	0	0	0	0	0	0	1
Algeria_Numidia_Roman_Berber	MAGHREB	Algeria	3	0	0	0	0	0	0	0	3
BedouinA	LEVANT	Israel	25	0	0	0	0	0	0	0	25
BedouinB	LEVANT	Israel	21	0	0	0	0	0	0	0	21
BedouinB_1	LEVANT	Israel	1	0	0	0	0	0	0	0	1
BedouinB_2	LEVANT	Israel	1	0	0	0	0	0	0	0	1
Cyprus_C	LEVANT	Cyprus	0	1	0	0	0	0	0	0	1
Cyprus_PPNB	LEVANT	Cyprus	0	0	1	0	0	0	0	0	1
Druze	LEVANT	Israel	44	0	0	0	0	0	0	0	44
Egypt_AbusirelMeleq_ThirdIntermediatePeriod	NORTH_AFRICA_EAST	Egypt	0	1	0	0	0	0	0	0	1
Egypt_Nuwayrat_EDynastic	NORTH_AFRICA_EAST	Egypt	0	1	0	0	0	0	0	0	1
Gibraltar_EBA	IBERIA	Gibraltar	0	3	0	0	0	0	0	0	3
Gibraltar_EN	IBERIA	Gibraltar	0	0	1	0	0	0	0	0	1
IBS	IBERIA	Spain	45	0	0	0	0	0	0	0	45
IBS-1	IBERIA	Spain	1	0	0	0	0	0	0	0	1
IBS_CanaryIslands	IBERIA	Spain	2	0	0	0	0	0	0	0	2
Israel_C	LEVANT	Israel	0	0	1	0	0	0	0	0	1
Israel_IA	LEVANT	Israel	0	1	0	0	0	0	0	0	1
Israel_IA-o	LEVANT	Israel	0	1	0	0	0	0	0	0	1
Israel_IA1	LEVANT	Israel	0	2	0	0	0	0	0	0	2
Israel_IA1-o	LEVANT	Israel	0	1	0	0	0	0	0	0	1
Israel_IA2	LEVANT	Israel	0	3	0	0	0	0	0	0	3
Israel_IBA	LEVANT	Israel	0	1	0	0	0	0	0	0	1
Israel_LBA	LEVANT	Israel	0	4	0	0	0	0	0	0	4
Israel_LateC	LEVANT	Israel	0	4	15	0	0	0	0	0	19
Israel_LateC-2	LEVANT	Israel	0	0	1	0	0	0	0	0	1
Israel_MLBA	LEVANT	Israel	0	40	0	0	0	0	0	0	40
Israel_MLBA-o	LEVANT	Israel	0	2	0	0	0	0	0	0	2
Israel_MLBA-oCaucasus	LEVANT	Israel	0	1	0	0	0	0	0	0	1
Israel_Medieval-oNorthAfrica	LEVANT	Israel	2	0	0	0	0	0	0	0	2
Israel_Natufian	LEVANT	Israel	0	0	0	12	0	0	0	0	12
Israel_PPNB_LN	LEVANT	Israel	0	0	1	0	0	0	0	0	1
Israel_Phoenician	LEVANT	Israel	0	15	0	0	0	0	0	0	15
Jordan_EBA	LEVANT	Jordan	0	8	0	0	0	0	0	0	8
Jordan_LBA	LEVANT	Jordan	0	20	0	0	0	0	0	0	20
Jordan_LBA-o	LEVANT	Jordan	0	1	0	0	0	0	0	0	1
Jordan_PPNB	LEVANT	Jordan	0	0	12	0	0	0	0	0	12
Jordan_PPNB_LN	LEVANT	Jordan	0	0	1	0	0	0	0	0	1
Jordan_PPNC	LEVANT	Jordan	0	0	5	0	0	0	0	0	5
Jordanian	LEVANT	Jordan	3	0	0	0	0	0	0	0	3
Lebanon_Chhim_Medieval-o	LEVANT	Lebanon	1	0	0	0	0	0	0	0	1
Lebanon_Hellenistic	LEVANT	Lebanon	0	2	0	0	0	0	0	0	2
Lebanon_IA2	LEVANT	Lebanon	0	1	0	0	0	0	0	0	1
Lebanon_IA3	LEVANT	Lebanon	0	6	0	0	0	0	0	0	6
Lebanon_IA3-1	LEVANT	Lebanon	0	1	0	0	0	0	0	0	1
Lebanon_ImperialRoman	LEVANT	Lebanon	2	1	0	0	0	0	0	0	3
Lebanon_LateAntiquity_ImperialRoman_Roman	LEVANT	Lebanon	2	0	0	0	0	0	0	0	2
Lebanon_LateAntiquity_Roman	LEVANT	Lebanon	1	0	0	0	0	0	0	0	1
Lebanon_MBA	LEVANT	Lebanon	0	4	0	0	0	0	0	0	4
Lebanon_Medieval	LEVANT	Lebanon	7	0	0	0	0	0	0	0	7
Lebanon_Medieval-1	LEVANT	Lebanon	1	0	0	0	0	0	0	0	1
Lebanon_Medieval-2	LEVANT	Lebanon	2	0	0	0	0	0	0	0	2
