pop1	pop2	pop3	pop4	f4	se	z	p	phase	description	usable
ITALY_T0	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T0	9.161167940916e-05	3.53498442733974e-05	2.59157236169503	0.00955384471943968	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, EUROPE_NW_T0) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T1	-6.73274638061777e-05	3.73775321987247e-05	-1.80128167499712	0.071658494657179	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, EUROPE_NW_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T2	-0.000112021454348616	4.21811014162661e-05	-2.65572615667684	0.00791378492129677	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, EUROPE_NW_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T3	-0.00029982753656359	4.84202627076297e-05	-6.19219144625471	5.9333421971324e-10	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, EUROPE_NW_T3) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	EUROPE_NW_T4	-0.000130606925094258	4.65991459657839e-05	-2.80277508068834	0.00506649892295518	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, EUROPE_NW_T4) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	GREECE_T0	-0.000202113474842335	5.07776756866367e-05	-3.98036089894374	6.88107204924672e-05	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, GREECE_T0) [Italy→Iberia?]	PARTIAL
ITALY_T0	AFRICA_W_T0	IBERIA_T0	GREECE_T1	-0.000247500005304234	4.58433750678575e-05	-5.39881727595064	6.70816521622104e-08	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, GREECE_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	GREECE_T2	-0.000464277025758862	5.27109844602499e-05	-8.80797485596157	1.27427008694789e-18	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, GREECE_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	LEVANT_T0	-8.60065102322315e-05	3.8850222616417e-05	-2.21379710179286	0.0268427395424035	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, LEVANT_T0) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	LEVANT_T1	-0.000420658971920583	4.44104579893358e-05	-9.47207011514259	2.74351774174059e-21	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, LEVANT_T1) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	LEVANT_T2	-0.000428147668161553	4.68396805514489e-05	-9.14070427297799	6.20469239972568e-20	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, LEVANT_T2) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T0	LEVANT_T3	-0.000282322041014188	4.63926573857825e-05	-6.08548975038254	1.16135754388962e-09	C_reverse	f4(ITALY_T0, Africa; IBERIA_T0, LEVANT_T3) [Italy→Iberia?]	YES
ITALY_T0	AFRICA_W_T0	IBERIA_T1	EUROPE_NW_T0	0.000319641960083995	3.20411813788296e-05	9.97597299253111	1.94188706157959e-23	C_reverse	f4(ITALY_T0, Africa; IBERIA_T1, EUROPE_NW_T0) [Italy→Iberia?]	YES
