sample_id	master_id	group_id	population	region	subregion	layer	role
Loschbour.AG	Loschbour	Luxembourg_Loschbour_Mesolithic	Luxembourg_Loschbour_Mesolithic	EUROPE_CONTROL	NW_Europe	T2	CONTROL
Kou01.SG	Kou01	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
Kou03.SG	Kou03	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
Log02.SG	Log02	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
Log04.SG	Log04	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
Mik15.SG	Mik15	Greece_Manika_EBA	Greece_Manika_EBA	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
Pta08.SG	Pta08	Greece_Crete_KephalaPetrasSiteias	Greece_Crete_KephalaPetrasSiteias	EUROPE_CONTROL	Southern_Europe	T1	CONTROL
cay004.SG	cay004	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay008.SG	cay008	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay011.SG	cay011	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay012.SG	cay012	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay013.SG	cay013	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay014.SG	cay014	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay015.SG	cay015	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay016.SG	cay016	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay1820.SG	cay1820	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay022.SG	cay022	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay027.SG	cay027	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
cay033.SG	cay033	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	T2	OUTGROUP
AV1.AG	AV1	Hungary_Avar-5	Hungary_Avar-5	EUROPE_CONTROL	Central_Europe	T0	CONTROL
AV2.AG	AV2	Hungary_Avar-5	Hungary_Avar-5	EUROPE_CONTROL	Central_Europe	T0	CONTROL
CL102.AG	CL102	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL110.AG	CL110	Italy_Piedmont_North_EarlyMedieval_Lombards-4	Italy_Piedmont_North_EarlyMedieval_Lombards-4	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL121.AG	CL121	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL145.AG	CL145	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL146.AG	CL146	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL151.AG	CL151	Italy_Piedmont_North_EarlyMedieval_Lombards-1	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL23.AG	CL23	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL25.AG	CL25	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL30.AG	CL30	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL31.AG	CL31	Italy_Piedmont_North_EarlyMedieval_Lombards	Italy_Piedmont_North_EarlyMedieval_Lombards	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL36.AG	CL36	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL38.AG	CL38	Italy_Piedmont_North_EarlyMedieval_Lombards-3	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL47.AG	CL47	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL49.AG	CL49	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL53.AG	CL53	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL57.AG	CL57	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
CL63.AG	CL63	Italy_Piedmont_North_EarlyMedieval_Lombards-2	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	Southern_Europe	T0	CONTROL
