sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role	publication	doi	full_date	assessment_warnings	qc_eligible
Loschbour.AG	Loschbour	Luxembourg_Loschbour_Mesolithic	Luxembourg_Loschbour_Mesolithic	EUROPE_CONTROL	NW_Europe	Luxembourg	49.81	6.4	8025	64	463455	PASS	T2	CONTROL	MathiesonReichNature2018	https://doi.org/10.1038/nature25778	6221-5986 calBCE (7205±50 BP, OxA-7738)		Y
Kou01.SG	Kou01	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1033440	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
Kou03.SG	Kou03	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1072759	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
Log02.SG	Log02	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1141145	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
Log04.SG	Log04	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1138096	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
Mik15.SG	Mik15	Greece_Manika_EBA	Greece_Manika_EBA	EUROPE_CONTROL	Southern_Europe	Greece	38.498226	23.626147	4250	173	1076504	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
Pta08.SG	Pta08	Greece_Crete_KephalaPetrasSiteias	Greece_Crete_KephalaPetrasSiteias	EUROPE_CONTROL	Southern_Europe	Greece	35.197343	26.11498	4250	173	1128313	PASS	T1	CONTROL	ClementePapageorgopoulouCell2021	https://doi.org/10.1016/j.cell.2021.03.039	2600-2000 BCE		Y
cay004.SG	cay004	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8396	58	83724	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	6591-6269 calBCE (7593±55 BP)		Y
cay008.SG	cay008	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8541	139	93395	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	7031-6279 calBCE (7720±112 BP)		Y
cay011.SG	cay011	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8369	40	23943	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	6475-6269 calBCE (7562±38 BP)		Y
cay012.SG	cay012	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	25796	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	9800-6500 BCE		Y
cay013.SG	cay013	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8600	260	155759	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	7100-6200 BCE		Y
cay014.SG	cay014	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8908	257	17719	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	7470-6481 calBCE (8011±199)		Y
cay015.SG	cay015	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	13799	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	9800-6500 BCE		Y
cay016.SG	cay016	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10550	173	44979	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	8900-8300 BCE		Y
cay1820.SG	cay1820	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	15198	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	9800-6500 BCE		Y
cay022.SG	cay022	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	7303	88	15946	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	7467-7089 calBCE (8266±34 BP)		Y
cay027.SG	cay027	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8400	87	23407	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	6600-6300 BCE		Y
cay033.SG	cay033	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	32036	PASS	T2	OUTGROUP	AltınışıkSomelSciAdv2022	https://doi.org/10.1126/sciadv.abo3609	9800-6500 BCE		Y
