sample_id	master_id	group_id	population	region	subregion	country	latitude	longitude	date_mean_bp	date_sd_bp	snps_1240k	assessment	layer	role
Loschbour.AG	Loschbour	Luxembourg_Loschbour_Mesolithic	Luxembourg_Loschbour_Mesolithic	EUROPE_CONTROL	NW_Europe	Luxembourg	49.81	6.4	8025	64	463455	PASS	T2	CONTROL
Kou01.SG	Kou01	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1033440	PASS	T1	CONTROL
Kou03.SG	Kou03	Greece_EpanoKoufonisi_EBA_Cycladic	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	Southern_Europe	Greece	36.937529	25.60652	4250	173	1072759	PASS	T1	CONTROL
Log02.SG	Log02	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1141145	PASS	T1	CONTROL
Log04.SG	Log04	Greece_ElatiLogkassite_MBA	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	Southern_Europe	Greece	39.980392	21.823641	4250	173	1138096	PASS	T1	CONTROL
Mik15.SG	Mik15	Greece_Manika_EBA	Greece_Manika_EBA	EUROPE_CONTROL	Southern_Europe	Greece	38.498226	23.626147	4250	173	1076504	PASS	T1	CONTROL
Pta08.SG	Pta08	Greece_Crete_KephalaPetrasSiteias	Greece_Crete_KephalaPetrasSiteias	EUROPE_CONTROL	Southern_Europe	Greece	35.197343	26.11498	4250	173	1128313	PASS	T1	CONTROL
cay004.SG	cay004	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8396	58	83724	PASS	T2	OUTGROUP
cay008.SG	cay008	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8541	139	93395	PASS	T2	OUTGROUP
cay011.SG	cay011	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8369	40	23943	PASS	T2	OUTGROUP
cay012.SG	cay012	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	25796	PASS	T2	OUTGROUP
cay013.SG	cay013	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8600	260	155759	PASS	T2	OUTGROUP
cay014.SG	cay014	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	8908	257	17719	PASS	T2	OUTGROUP
cay015.SG	cay015	Turkey_PPN	Turkey_PPN	OUTGROUP	Anatolia	Turkey	38.2153	39.7526	10100	953	13799	PASS	T2	OUTGROUP
