group_id	med_node	country	region	T0	T1	T2	T3	T4	T5	T6	UNDATED	TOTAL
Turkey_N	ANATOLIA	Turkey	OUTGROUP	0	1	65	0	0	0	0	0	66
Turkey_C	ANATOLIA	Turkey	OUTGROUP	0	51	14	0	0	0	0	0	65
Turkey_Catalhoyuk_MN	ANATOLIA	Turkey	OUTGROUP	0	0	46	0	0	0	0	0	46
Turkey_Medieval_Byzantine	ANATOLIA	Turkey	OUTGROUP	34	0	0	0	0	0	0	0	34
Turkey_Catalhoyuk_LN	ANATOLIA	Turkey	OUTGROUP	0	0	32	0	0	0	0	0	32
Turkey_MLBA	ANATOLIA	Turkey	OUTGROUP	0	31	0	0	0	0	0	0	31
Turkey_PPN	ANATOLIA	Turkey	OUTGROUP	0	0	29	0	0	0	0	0	29
Turkey_EBA	ANATOLIA	Turkey	OUTGROUP	0	26	0	0	0	0	0	0	26
Turkey_Ancient	ANATOLIA	Turkey	OUTGROUP	0	24	0	0	0	0	0	0	24
Turkey_Catalhoyuk_EN	ANATOLIA	Turkey	OUTGROUP	0	0	17	0	0	0	0	0	17
Turkey_BA	ANATOLIA	Turkey	OUTGROUP	0	13	0	0	0	0	0	0	13
Turkey_MBA	ANATOLIA	Turkey	OUTGROUP	0	13	0	0	0	0	0	0	13
Turkey_OttomanPeriod_ArabGraves	ANATOLIA	Turkey	OUTGROUP	12	0	0	0	0	0	0	0	12
Turkey_EarlyMedieval_Byzantine	ANATOLIA	Turkey	OUTGROUP	10	0	0	0	0	0	0	0	10
Turkey_Catalhoyuk_N	ANATOLIA	Turkey	OUTGROUP	0	0	10	0	0	0	0	0	10
Turkey_LateAntiquity_Byzantine	ANATOLIA	Turkey	OUTGROUP	9	0	0	0	0	0	0	0	9
Turkey_LateAntiquity_ImperialRoman	ANATOLIA	Turkey	OUTGROUP	7	0	0	0	0	0	0	0	7
Turkey_Ancient-1	ANATOLIA	Turkey	OUTGROUP	0	6	0	0	0	0	0	0	6
Turkey_IA	ANATOLIA	Turkey	OUTGROUP	0	6	0	0	0	0	0	0	6
Turkey_OttomanPeriod	ANATOLIA	Turkey	OUTGROUP	5	0	0	0	0	0	0	0	5
Turkey_ImperialRoman_Roman	ANATOLIA	Turkey	OUTGROUP	5	0	0	0	0	0	0	0	5
Turkey_Urartian	ANATOLIA	Turkey	OUTGROUP	0	5	0	0	0	0	0	0	5
