group_id	region	country	med_node	T0	T1	T2	T3	T4	T5	T6	UNDATED	TOTAL
ACB	OUTGROUP	Barbados		92	0	0	0	0	0	0	0	92
ACB-1	OUTGROUP	Barbados		2	0	0	0	0	0	0	0	2
ACB-2	OUTGROUP	Barbados		1	0	0	0	0	0	0	0	1
ACB-3	OUTGROUP	Barbados		1	0	0	0	0	0	0	0	1
ASW	OUTGROUP	USA		60	0	0	0	0	0	0	0	60
ASW-oEurope	OUTGROUP	USA		1	0	0	0	0	0	0	0	1
ASW-oNativeAmerican	OUTGROUP	USA		5	0	0	0	0	0	0	0	5
Abkhasian	OUTGROUP	Abkhazia		2	0	0	0	0	0	0	0	2
Adygei	EUROPE_CONTROL	Russia		18	0	0	0	0	0	0	0	18
Afghanistan_DarraiKurCave_MBA	OUTGROUP	Afghanistan		0	1	0	0	0	0	0	0	1
Albania_Barc_Medieval-o	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Albania_Barc_PostMedieval	EUROPE_CONTROL	Albania	BALKANS	5	0	0	0	0	0	0	0	5
Albania_Barc_PostMedieval-oTurkish	EUROPE_CONTROL	Albania	BALKANS	2	0	0	0	0	0	0	0	2
Albania_Bardhoc_PostMedieval	EUROPE_CONTROL	Albania	BALKANS	4	0	0	0	0	0	0	0	4
Albania_Cinamak_BA_IA	EUROPE_CONTROL	Albania	BALKANS	0	2	0	0	0	0	0	0	2
Albania_Cinamak_EBA	EUROPE_CONTROL	Albania	BALKANS	0	1	0	0	0	0	0	0	1
Albania_Cinamak_IA	EUROPE_CONTROL	Albania	BALKANS	1	5	0	0	0	0	0	0	6
Albania_Cinamak_IA-o	EUROPE_CONTROL	Albania	BALKANS	0	1	0	0	0	0	0	0	1
Albania_Dukat_Medieval	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Albania_Kenete_Medieval	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Albania_MBA	EUROPE_CONTROL	Albania	BALKANS	0	1	0	0	0	0	0	0	1
Albania_Medieval	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Albania_N	EUROPE_CONTROL	Albania	BALKANS	0	0	1	0	0	0	0	0	1
Albania_N_C	EUROPE_CONTROL	Albania	BALKANS	0	0	2	0	0	0	0	0	2
Albania_Pazhok_PostMedieval	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Albanian	EUROPE_CONTROL	Albania	BALKANS	1	0	0	0	0	0	0	0	1
Aleut	EUROPE_CONTROL	Russia		4	0	0	0	0	0	0	0	4
Algeria_Afalou_Paleolithic	MAGHREB	Algeria		0	0	0	1	0	0	0	0	1
Algeria_KhenchelaCave_IA	MAGHREB	Algeria		0	1	0	0	0	0	0	0	1
Algeria_Numidia_Roman_Berber	MAGHREB	Algeria		3	0	0	0	0	0	0	0	3
Altai_Neanderthal	EUROPE_CONTROL	Russia		0	0	0	0	0	0	2	0	2
Altaian	EUROPE_CONTROL	Russia		2	0	0	0	0	0	0	0	2
Altaian-o	EUROPE_CONTROL	Russia		1	0	0	0	0	0	0	0	1
Ami	OUTGROUP	Taiwan		2	0	0	0	0	0	0	0	2
Ancestor	OUTGROUP			1	0	0	0	0	0	0	0	1
Argentina_500BP_Inca_Aconcagua	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_BeagleChannel_100BP_Yamana	OUTGROUP	Argentina		6	0	0	0	0	0	0	0	6
Argentina_BeagleChannel_1500BP_LateHorizon_Yamana	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_BuenosAires_10000BP	OUTGROUP	Argentina		0	0	1	0	0	0	0	0	1
Argentina_BuenosAires_1600BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_BuenosAires_2600BP	OUTGROUP	Argentina		0	11	0	0	0	0	0	0	11
Argentina_BuenosAires_3300BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_BuenosAires_7700BP	OUTGROUP	Argentina		0	0	7	0	0	0	0	0	7
Argentina_BuenosAires_800BP	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_BuenosAires_900BP	OUTGROUP	Argentina		8	0	0	0	0	0	0	0	8
Argentina_Catamarca_1000BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Catamarca_1200BP	OUTGROUP	Argentina		4	0	0	0	0	0	0	0	4
Argentina_Catamarca_1200BP_Agropastoral	OUTGROUP	Argentina		5	0	0	0	0	0	0	0	5
Argentina_Catamarca_1400BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Catamarca_1500BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Catamarca_1600BP	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_Catamarca_2100BP_Agropastoral	OUTGROUP	Argentina		0	2	0	0	0	0	0	0	2
Argentina_Catamarca_2400BP	OUTGROUP	Argentina		0	4	0	0	0	0	0	0	4
Argentina_Catamarca_4500BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Catamarca_500BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Catamarca_700BP	OUTGROUP	Argentina		3	0	0	0	0	0	0	0	3
Argentina_Catamarca_700BP_Inca	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Catamarca_900BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Chaco_1400BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Chaco_1400BP_Chaco	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_Chaco_200BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Cordoba_100BP	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Cordoba_1200BP_Comechingones	OUTGROUP	Argentina		1	0	0	0	0	0	0	0	1
Argentina_Cordoba_1600BP	OUTGROUP	Argentina		2	0	0	0	0	0	0	0	2
Argentina_Cordoba_1700BP	OUTGROUP	Argentina		2	1	0	0	0	0	0	0	3
Argentina_Cordoba_1800BP	OUTGROUP	Argentina		6	0	0	0	0	0	0	0	6
Argentina_Cordoba_2500BP	OUTGROUP	Argentina		0	8	0	0	0	0	0	0	8
Argentina_Cordoba_2600BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Cordoba_2800BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Cordoba_3700BP	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
Argentina_Cordoba_3900BP	OUTGROUP	Argentina		0	2	0	0	0	0	0	0	2
Argentina_Cordoba_4100BP	OUTGROUP	Argentina		0	2	0	0	0	0	0	0	2
Argentina_Cordoba_4100BP_Comechingones	OUTGROUP	Argentina		0	1	0	0	0	0	0	0	1
