sample_id	custom_pop_label	group_id	region	layer	qc
Loschbour.AG	EUROPE_NW_T2	Luxembourg_Loschbour_Mesolithic	EUROPE_CONTROL	T2	PASS
Kou01.SG	GREECE_T1	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	T1	PASS
Kou03.SG	GREECE_T1	Greece_EpanoKoufonisi_EBA_Cycladic	EUROPE_CONTROL	T1	PASS
Log02.SG	GREECE_T1	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	T1	PASS
Log04.SG	GREECE_T1	Greece_ElatiLogkassite_MBA	EUROPE_CONTROL	T1	PASS
Mik15.SG	GREECE_T1	Greece_Manika_EBA	EUROPE_CONTROL	T1	PASS
Pta08.SG	CRETE_T1	Greece_Crete_KephalaPetrasSiteias	EUROPE_CONTROL	T1	PASS
cay004.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay008.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay011.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay012.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay013.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay014.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay015.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay016.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay1820.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay022.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay027.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
cay033.SG	ANATOLIA_T2	Turkey_PPN	OUTGROUP	T2	PASS
AV1.AG	EUROPE_CENTRAL_T0	Hungary_Avar-5	EUROPE_CONTROL	T0	PASS
AV2.AG	EUROPE_CENTRAL_T0	Hungary_Avar-5	EUROPE_CONTROL	T0	PASS
CL102.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL110.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-4	EUROPE_CONTROL	T0	PASS
CL121.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	T0	PASS
CL145.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL146.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL151.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL23.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL25.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	T0	PASS
CL30.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	T0	PASS
CL36.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL38.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-3	EUROPE_CONTROL	T0	PASS
CL47.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL53.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL57.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL63.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL83.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL84.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL87.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL92.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL93.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
CL94.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-2	EUROPE_CONTROL	T0	PASS
CL97.AG	ITALY_T0	Italy_Piedmont_North_EarlyMedieval_Lombards-1	EUROPE_CONTROL	T0	PASS
SZ12.AG	EUROPE_CENTRAL_T0	Hungary_Lombards	EUROPE_CONTROL	T0	PASS
SZ13.AG	EUROPE_CENTRAL_T0	Hungary_Lombards	EUROPE_CONTROL	T0	PASS
SZ14.AG	EUROPE_CENTRAL_T0	Hungary_Lombards	EUROPE_CONTROL	T0	PASS
SZ16.AG	EUROPE_CENTRAL_T0	Hungary_Lombards	EUROPE_CONTROL	T0	PASS
SZ18.AG	EUROPE_CENTRAL_T0	Hungary_Lombards-2	EUROPE_CONTROL	T0	PASS
